name,address,Phone,price_range_from,price_range_to,cuisines,rating,review_count,excellent_count,very_good_count,average_count,poor_count,terrible_count
Diva Maharashtracha,"Kokhandwala Road Nr Versona Telephone Exchange, Rto Singnal Nr Kokila Hospital, Andheri West, Mumbai 400058 India",+91 22 2635 9900,,,,4.5,5,2,3,0,0,0
Diva Maharashtracha,"Mili Society Ground Floor Takandas H Kataria Marg, Mumbai 400016 India",+91 22 2444 0202,,,"Indian, Chinese",4.5,16,13,1,1,1,0
Diva Maharashtracha,"Takandas H Kataria Marg Opposite Mahim Head Post Office, Mumbai 400016 India",61615065,,,,4,10,4,4,1,1,0
Diva Maharashtracha,"244 A Goa Portuguese Building 1st Floor Lokhandwala Road, Mumbai 400058 India",+91 22 2631 3222,,,,3.5,12,3,5,2,1,1
Dome,"135 Marine Drive Road Churchgate, Mumbai 400020 India",+91 22 6639 9999,,,"Bar, International",4,302,101,105,40,20,21
Domino's Pizza,"Mankame Apartment Ground Floor Opposite Kaya Clinic Nehru Road, Mumbai 400057 India",+91 22 2612 8510,,,"Pizza, Fast food",4.5,21,9,9,3,0,0
Domino's Pizza,"Unit No. TF-319/320, 3rd Floor, Infinity Mall, Link Road, Mindspace, Malad West, Mumbai 400064 India",+91 22 2889 1306,,,Pizza,4.5,8,3,5,0,0,0
Domino's Pizza,"6 Goregaon Mulund Link Road Shop No. 6, Jagdamba Commercial Complex, Malad, Mumbai 400064 India",+91 22 2844 6191,,,Pizza,4.5,6,2,4,0,0,0
Domino's Pizza,"1, New Sangeeta Apartment, Plot 48, 7th Road, Rajwadi, Opposite Railway Station, Ghatkopar East Ground Floor, Shop No 1, Rakawadi Ghatkopar, Mumbai 400086 India",+91 22 2102 5534,,,Pizza,4.5,5,2,3,0,0,0
Domino's Pizza,"31 Sahyadri Near SNK Web Solutions, Nerul, Mumbai 400706 India",+91 22 2770 3265,,,Pizza,4.5,6,2,4,0,0,0
Domino's Pizza,"Shop No. 3 & 4, Yashodhan Building, Gokhale Road Hanuman Chowk, Mumbai 400081 India",+91 22 2563 6404,,,"Italian, Pizza, Fast food",4.5,11,5,4,2,0,0
Domino's Pizza,"Unit No G - 010 Ground Floor L B S Marg, Mumbai 400078 India",+91 22 2812 9777,,,"Pizza, Italian, Fast food",4,16,5,7,3,0,1
Domino's Pizza,"8 - 11 Bethlehem Apartments Opposite Karuna Hospital, Borivali West, Mumbai 400092 India",+91 22 2594 6888,,,"Pizza, Italian",4,30,13,12,4,0,0
Domino's Pizza,"Strand Road Strand CoFFee House, Colaba, Mumbai 400001 India",+91 22 2891 6069,,,"Pizza, Italian",4,22,8,5,8,0,1
Domino's Pizza,"Hiranandani Business Park City Park, Opposite Bayer House, Powai, Mumbai 400076 India",+91 22 2202 4888,,,"Pizza, Fast food",4,46,13,23,6,1,0
Domino's Pizza,"124 Andheri Kurla Road Near Sangam Big Cinemas, Andheri East, Mumbai 400069 India",+91 22 2570 5720,,,"Pizza, Fast food",4,59,15,18,11,3,4
Domino's Pizza,"Lily Villa St John Baptist Road Near Lilavati Hospital, Near Bank Of Maharashtra, Bandra West, Mumbai 400050 India",+91 22 2826 3760,,,"Pizza, Fast food",4,27,8,10,5,2,1
Domino's Pizza,"Dr Keni House 176 St Road Dhavaji Keni Marg Opposite Union Bank, Sion, Mumbai 400022 India",+91 22 2640 0394,,,"Pizza, Fast food",4,13,5,6,2,0,0
Domino's Pizza,"462 Senapati Bapat Marg Unit No 6D Block-17, Phoenix Mills, Lower Parel, Mumbai 400013 India",+91 22 2404 1780,,,"Pizza, Fast food",4,21,6,6,4,2,1
Domino's Pizza,"2 Wadia Road Prabhu Niwas, Tardeo, Mumbai 400034 India",+91 22 2496 3639,,,"Pizza, Fast food",4,15,5,5,3,0,0
Domino's Pizza,"21 Near Kotak Mahindra Shop 81, Ground Flrkalash Vaibhav, Near Kotak Mahindra ATM, Sector 11 Plot 21, Koparkhairane, Mumbai 400709 India",+91 22 2354 3411,,,"Pizza, Fast food",4,14,3,6,4,1,0
Domino's Pizza,"23 Peddar Road Shop No. D-001, Purnima Apartments, Opp Film Division, Mumbai 400026 India",+91 22 2754 6561,,,"International, Pizza, Fast food",4,19,5,9,2,2,1
Domino's Pizza,"406, Swami Vivekanand Road, Near Indian Oil Petrol Pump, Vile Parle West, Mumbai 400056 India",+91 22 2352 4111,,,,4,5,2,2,1,0,0
Domino's Pizza,"17 - 19 Beach Heaven Building 2 Ground Floor Juhu Tara Road Next to Ramada Hotel, Near Joy Motors, Juhu, Mumbai 400049 India",+91 22 2616 2222,,,"Pizza, Fast food",3.5,21,3,11,5,2,0
Domino's Pizza,"2nd Floor Wadia Path Near Tardeo Bus Depot, Tardeo, Mumbai 400007 India",+91 22 2616 5555,,,"Pizza, Fast food",3.5,11,1,7,2,0,1
Domino's Pizza,"3, Mira Plaza Building, Mira Bhayandar Road, Opposite D-Mart, Mira Road East, Mumbai 401124 India",+91 22 2354 3411,,,,4.5,4,2,2,0,0,0
Doolally Taproom,"C18 - 21 Dalia Industrial Estate Road Near Fun Republic, Mumbai 400053 India",+91 22 3962 5626,300,2000,"Bar, International, Pub",4,75,26,36,10,1,2
Doolally Taproom,"10 A Rajkutir, E854, 3rd Road Khar West, Next to 3 Wise Monkeys, Mumbai 400052 India",+91 22 3962 5626,300,2000,International,3.5,12,2,6,3,0,1
Door No.1 - The Retro Bar & Kitchen,"Shop No 1/2, Ankleshwar, ONGC Colony, Bandra Reclamation, Mumbai 400050 India",+91 90820 46382,,,"Indian, Bar, Pub",4,37,13,16,7,1,0
Doppio Bar & Brasserie,"201 Hubtown Skybay Bhulabhai Desai Road, Breach Candy, Mumbai 400026 India",+91 76664 99000,1000,1500,"Italian, Bar, European, Pub",4,21,11,6,3,0,1
Dosa Plaza,"Pandit Madan Mohan Malaviya Rd D-2, MTNL Colony, Keshav Pada, Mulund West, Mumbai 400080 India",,,,,4,5,1,4,0,0,0
downtown China,"Melbourne Building, Shastri Nagar Lane 1, Lokhandwala Complex, Andheri West,, Mumbai 400053 India",+91 74988 44244,,,"Mexican, Chinese, Indian, Fast food",5,5,4,1,0,0,0
Downtown Dhaba,"384 Swatantrya Veer Savarkar Marg Near Vijay Sales Showroom, Prabhadevi, Mumbai 400001 India",+91 22 2437 6685,,,Chinese,4,11,2,6,2,1,0
DP's Fast Food,"153 Nanda Deep Building Ln Road Opposite Ruia College, Matunga, Mumbai 400019 India",+91 22 2414 5326,,,"Indian, Fast food",4,55,16,28,8,1,2
Dragonfly Experience,"New Nagardas Road The Orb, Next to JW Marriott Sahar, Mumbai 400088 India",+91 86575 98230,1800,2200,Asian,5,16,15,0,1,0,0
Drifters Brewing Co.,"Unit 1, First floor, Trade View Building Kamla Mills Compound, Lower Parel, Mumbai 400037 India",+91 92655 07296,800,1200,"Italian, Bar, Mediterranean, Pub",4,13,3,7,2,1,0
Drifters Tap Station,"Ground Floor, Unit No 3, Adani Inspire Bkc, G Block Bkc, Pathhar Nagar Bandra Kurla Complex, Mumbai 400051 India",+91 88794 47295,,,"Indian, Fast food, European, Bar, Pub",4.5,43,30,8,3,2,0
Drinkery 51,"1st Floor, Vibgyor Towers, Bandra Kurla Complex, Mumbai 400051 India",+91 22 3015 1935,,,,4.5,70,44,14,6,0,5
DRINX Exchange,"89 Shavi Industrial Estate Saki Naka, Mumbai 400072 India",+91 89283 52843,,,"Bar, Pub",5,5,4,1,0,0,0
Dublin The Irish Bar,"Dr Babasaheb Ambedkar Road ITC Grand Central, 287, Mumbai 400012 India",+91 22 2410 1010,,,"Bar, Pub",4,11,5,3,0,2,1
Dum Pukht,"Sahar Rd ITC Maratha Hotel Andheri, Mumbai 400069 India",+91 22 2830 3030,,,,4.5,416,299,81,18,8,4
Duma Dum Mast Kalandar,"Sion Trombay Road Opposite Bezzolla Complex, Suman Nagar, Mumbai 400071 India",+91 22 2528 7007,,,Indian,4.5,19,9,8,1,1,0
Dumpling King,"7, Gagangiri CHS, off Carter Road, Bandra West Opposite Vihar Building, Mumbai 400050 India",+91 99209 56884,,,Asian,3.5,11,2,6,2,0,1
Durga Lunch Home,"Nalla Mansion 279/B Opposite Matunga Railway Station, Matunga East, Mumbai 400019 India",+91 22 2414 5178,,,,4.5,8,4,3,1,0,0
Dwarka Veg,"24 Veer Nariman Road Rehman Building, Opposite Akbarallys, Near Times Of India, Fort, Mumbai 400001 India",+91 22 2284 8169,,,Indian,3.5,20,1,10,8,0,0
Dwarka Veg Fine Dine,"LT Road Opposite Om Jewellers, Borivali West, Mumbai 400092 India",+91 22 2833 0642,,,,4,8,3,3,2,0,0
Dynasty,"85 Swami Vivekanand Road Opposite UCO Bank, Mumbai 400054 India",+91 22 2605 4741,,,"Chinese, Asian",3.5,95,18,43,26,4,4
E.A.S.T.,"Nehru Road Opp Domestic Airport, Mumbai 400099 India",+91 22 3980 7444,,,"Chinese, Japanese, Asian, Thai",5,13,12,1,0,0,0
Earth Cafe,"Waterfield Road Durga Chambers, Work, Bandra West, Mumbai 400050 India",+91 96190 33393,8,200,"Italian, American, Indian, Mediterranean, Asian, Cafe",4.5,17,13,3,0,0,1
Earthlings Cafe,"Sterlings CHS, Sundervan Complex Shop No.12, Mumbai 400053 India",+91 88281 11291,,,Cafe,5,8,7,1,0,0,0
East Asian Spice Trail,"Vile Parle East, Hotel Sahara Star Opp. Domestic Airport, Mumbai 400099 India",+91 22 3980 7444,1450,2500,"Asian, Chinese, Thai",5,254,229,16,4,0,3
East Pan Asian Restaurant,"76, August Kranti Marg, Mumbai 400036 India",+91 22 2381 1010,,,"Chinese, Japanese, Asian",4,9,6,1,1,0,1
Easyhuman,"Easyhuman, Park House Annexe, 75/77 Wodehouse Road,, Mumbai 400005 India",+91 98206 05552,5,9,"Indian, Cafe, Contemporary, Healthy",4.5,10,5,5,0,0,0
EAT Any Time,"Shop no 5,6 GANESH SIDDHI 2, Ram Mandir Rd, Vazira, Borivali West, Mumbai 400091 India",+91 74000 89998,200,500,"Italian, Mexican, American, Indian, Middle Eastern, Afghani",5,3,3,0,0,0,0
Eat Around The Corner,"Junction of 24th & 30th Road Opposite St Theresa's Boys High School, Pali Hill, Bandra West, Mumbai TPS III 400050 India",+91 22 2600 6717,,,"Cafe, European, International",4,167,46,92,20,4,5
Eat Thai,"St John Road Gasper Enclave, Shop No. 8 & 9 Ground Floor Opp. Gold's Gym, Mumbai 400050 India",+91 22 2645 9775,,,"Asian, Thai",4.5,20,10,6,4,0,0
Ebony Fine Dine,"3rd Floor, Vishnu Shivam Mall, Thakur Village Near IDBI Bank, Kandivali East, Mumbai 400101 India",+91 22 2885 9444,,,"Bar, Chinese, Indian, Seafood, Asian",4,44,8,28,6,1,1
Echo,"Mumbai (Bombay) Palm Beach Road, Near Modern College Bus Stop, Mumbai 400705 India",+91 22 4171 2345,742,7418,"Indian, Asian, Chinese, International",4,15,7,5,2,0,1
Eddies Bistro,"6 Silver Croft Building 33'rd Road, Mumbai 400050 India",+91 22 2600 2637,,,"Bar, Italian, International, European, Pub",4,64,12,43,5,2,1
Eden Goodnees Cafe,"Link Plaza, Oshiwara, Link Road, Andheri West, Mumbai 400053 India",+91 98926 09649,,,Asian,5,8,6,2,0,0,0
Edward Pure Veg,"Building 275, Bazargate Street, Fort, Mumbai 400001 India",+91 22 2267 9384,,,Chinese,4.5,5,4,0,1,0,0
Effingut,"Ganga Jamna Sangam Building 24th Road Linking Road, Mumbai 400050 India",+91 22 6105 4689,,,"Indian, Asian, Pub, Fusion, Healthy, Bar",4,13,5,5,2,1,0
Effingut,"Dhanraj Mahal, Colaba next to the Bentley Showroom, Mumbai 400005 India",+91 80824 17635,,,,4,64,24,28,6,1,2
Eggsplore,"New Link Road Shop 13, Avirahi Homes, Near SVP College, Next to Hyundai Showroom , IC Colony, Mumbai 400103 India",+91 91674 66422,40,500,"Chinese, Indian, Fast food, Contemporary, Soups",4.5,14,4,10,0,0,0
El Mercado,"Shop 3, Sunbeam, Perry cross road, Pali Hill, Bandra West, Mumbai 400052 India",+91 91377 70978,,,"Spanish, Mediterranean",4.5,8,3,5,0,0,0
Elco,"2/A Elco Market Almnestend Hill Road Opposite Globus Showroom, Bandra West, Mumbai 400050 India",+91 22 2643 7206,371,742,"Indian, Fast food",4,349,131,137,49,19,11
Elephanta Port Restaurant and Bar,"Nariman Point, Elephanta Island, Mumbai 400021 India",+91 97572 27683,250,400,"Indian, Chinese, Grill, Fusion",4,53,15,18,6,2,1
Eleven Kitchens,"Barrister Rajni Patel Marg, Nariman Point 1st Floor, CR2 Mall, Mumbai 400021 India",+91 22 6666 4013,,,"American, Healthy",4.5,5,3,2,0,0,0
Emprino,"12 Carter Road Shop B3, Gagangiri Chsl, Khar West, Mumbai 400052 India",+91 99202 21292,,,"Chinese, Asian, Thai",4,16,6,7,2,1,0
Episode One,"Orchard Ave Delphi Building, Binge Central, 1st Floor, Shop No 6, B-Wing, Hiranandani Gardens, Mumbai 400076 India",,,,,5,29,27,2,0,0,0
EPL : Eat Pray Luv,"Hill Road 55 , Ranchhod Bhuvan , Shop No - 2, Mumbai 400004 India",+91 22 4973 3966,,,Vegetarian Friendly,4,17,9,6,0,1,1
Escobar,"4th Floor 199 Linking Road Near Bank of Baroda, Mumbai 400050 India",+91 22 4276 0000,1706,3413,"Bar, Italian",4,63,24,27,9,3,0
Eskay,"Eskay Resorts, Eskay House off New Link Road, Near Joggers Park, Borivali West, Mumbai 400092 India",+91 22 6155 7000,,,"Asian, Chinese, Indian, Thai",4,12,5,4,2,1,0
Esora,"First Floor, Commerz II, International Business Park, Oberoi Garden City, Off Western Express Highway, Goregaon East, Mumbai 400063 India",+91 88288 33321,300,2000,"Italian, Indian, European, Asian",4.5,31,21,7,2,0,1
Estella,"Juhu Tara Road Ground Floor, Nichani Kutir Building, Opposite HDFC Bank, Mumbai 400049 India",+91 79999 98212,2500,3000,"Vegan Options, Vegetarian Friendly",4,60,34,16,3,2,5
Eva's Pizza,"Off Military Road, Mumbai 400059 India",+91 99678 88621,,,"Pizza, Fast food",4,43,18,17,5,2,1
Everyday Anday,"Viviana Mall Thane Food court, Mumbai 400601 India",+91 22 3371 6004,,,,3.5,11,3,5,1,1,1
Exo,"Senapati Bapat Marg, Lower Parel Palladium Hotel, Mumbai 400013 India",+91 22 6162 8422,,,,4,13,5,5,0,2,0
F Bar,"India Bulls Center, 841, Senapati Bapat Marg, Mumbai 400012 India",,,,American,4,20,5,8,4,3,0
Faasos,"13/B Pali Road 5 Shakti Raj, Cooperative Society, Next To Golds Gym, Mumbai 400050 India",002 65620002,,,"Fast food, Indian",4,29,4,19,3,2,1
Faaso's,"R-Mall, Kamgar Colony, LBS Road, Mulund West, Mumbai 400082 India",+91 86557 63939,,,Fast food,4.5,11,6,4,1,0,0
Faaso's,"3/V-14, Sumer Nagar, Kora Kendra, SV Road Opposite McDonald, Near Jayna Motors, Borivali West, Mumbai 400092 India",+91 22 6538 0008,,,Fast food,4.5,6,2,4,0,0,0
Faaso's,"4 Paras Palace Mahakali Caves Road Andheri East, Near Jammu and Kashmir Bank, Mumbai 400093 India",+91 22 6563 0002,,,Fast food,4,5,1,4,0,0,0
Faaso's,"Chakala, Andheri Kurla Road, Next To Popular Car Bazar, Andheri East, Mumbai 400072 India",+91 22 6566 0003,,,,4,8,2,4,2,0,0
Faaso's - Wraps On The Run,"2 Lady Jamshedji Road Mahim West, Near Paradise Cinema, Mumbai 400016 India",+91 76666 23939,,,Indian,4,47,13,20,12,0,2
Fabcafe,"August Kranti Marg Unit No. B, 2nd Floor, Mumbai 400036 India",+91 98337 74962,,,"Indian, Cafe",4.5,16,9,4,2,0,1
"Fable Cafe , Juhu","N.S. Road No. 13 Shop No 3, Ashiyana Apartment, Next to Arogyanidhi Hospital, Mumbai 400049 India",+91 86576 85465,59356,89034,"Italian, Pizza, Cafe, European",4,122,33,63,20,2,4
"Fable, Andheri, Lokhandwala","1, Green Fields Society, Lokhandwala Complex, Andheri Lokhandwala,Andheri West, Andheri West,, Mumbai 400053 India",+91 91362 79905,800,1200,"Italian, American",5,5,5,0,0,0,0
"Fable, Powai","Chandivali, Opposite Chandivali Studio, Powai,, Mumbai 400072 India",+91 82910 62266,800,1200,"Italian, American",4,5,1,3,1,0,0
Facing East,"Jvpd Scheme 13th Road Near Juhu Gymkhana, Juhu, Mumbai 400052 India",+91 22 2625 1188,,,"Vegetarian Friendly, Vegan Options",4,119,42,62,11,3,0
Faiz Tikka,"3, Sant Savta Road, Opposite Gloria Church, Byculla, Mumbai 400027 India",+91 98190 36819,,,,4.5,7,4,3,0,0,0
Falafel's - Veg Hummus House,"Falafel's - Veg Hummus House Barrister Rajani Patel Marg Husan Manzil House 1st Floor, Nariman Point, Mumbai 400021 India",,,,"Lebanese, Mediterranean, Middle Eastern",3.5,11,2,5,3,1,0
Falafel's Veg Hummus House,"Shop No 6A, Ground Floor, B Block, Hasan Manzil House, Gowalia Tank Road, August Kranti Marg, Kemps Corner, Tardeo, Mumbai 400036 India",+91 22 2386 8000,,,Middle Eastern,4.5,5,3,2,0,0,0
Falafel's Veg Hummus House,"Sham Palace C.H.S. LTD. Shop No. 3, Ground Floor, A Wing 98, Hill Road, Bandra ""A"" � Wing 98, Hill Road, Bandra, Mumbai 400050 India",,,,"Fast food, Middle Eastern, Lebanese, Mediterranean",4,18,4,8,4,2,0
Falafel's- Veg Hummus House,"R City Mall, 3rd Floor, Amrut Nagar, LBS Marg, Ghatkopar West, Mumbai 400086 India",+91 91673 74445,,,"Lebanese, Mediterranean",4,8,2,5,1,0,0
"Falafels, Infinity Malad, Mumbai","Infinity 2, Mumbai 400064 India",,,,"Lebanese, Middle Eastern",4,24,8,13,2,1,0
Family Tree,"Samriddhi Banquet Premises Below Talwalkars Gym Shop Number 3, Mumbai 400080 India",+91 22 2561 4646,,,"Italian, Mexican, Chinese, Pizza",4.5,6,3,3,0,0,0
Fareed Seekh Kawab Corner,"Jogheswari Ytftygv, Mumbai 400102 India",,,,,4.5,10,4,5,1,0,0
Farid Seekh Kebab Centre,"13 Behram Baug Road, Mumbai 400102 India",+91 98198 83313,,,"Indian, Fast food, Asian",4.5,17,10,5,2,0,0
Farm Cafe,"G-11, R Galleria, Runwal Greens Goregaon-Mulund Link Road, Next to Fortis Hospital, Industrial Area, Mulund West, opposite Food Studio, Industrial Area, Bhandup West, Mumbai 400078 India",+91 70454 11111,,,"Pizza, Cafe, Fast food",4,11,4,5,2,0,0
Farm Regency Resort,"Gorai Village, Essel World Road, Borivali West, Mumbai 400092 India",+91 97695 20229,,,"Indian, Bar",4,33,8,17,5,0,3
Farmers Cafe,"16'th Road Shop 2, Rita Apartments, Nr. Mini Punjab Hotel, Mumbai 400050 India",+91 75060 15930,,,"Cafe, Pizza",4,21,11,6,2,1,1
Farzi Cafe,"High Street Phoenix Unit No C 10 B, Ground floor, Courtyard, 462, Senapati Bapat Marg, Lower Parel,, Mumbai 400014 India",+91 74000 66824,1200,1500,"Indian, Asian",4,77,32,35,5,1,2
Farzi Cafe,"Western Express Highway Unit no- 2, Third floor, Oberoi Mall, Mumbai 400063 India",+91 74000 91034,,,Indian,4,58,25,21,8,3,1
Farzi Cafe,"Kamala Mills Compound Ground Floor, Kamala Mills, Near Radio Mirchi Office S.B Marg, Lower Parel, Mumbai 400013 India",+91 84339 42801,,,,4,298,106,128,44,12,7
Fat Man's Cafe,"48 Gulmohar Road 2nd and 3rd floor, Tian Building, Mumbai 400049 India",+91 22 2625 4446,,,"Italian, International",3.5,57,14,18,20,2,3
Fatty Bao,"2A, Ground Floor, Trade View Building, Oasis Complex, Pandurang Budhkar Marg, Lower Parel, Mumbai, Mumbai 400013 India",+91 22 3015 1246,,,"Chinese, Japanese, Asian, Sushi",4.5,49,24,17,7,1,0
Fellas Cafe,"14a Aanand Niwas Ahimsa Marg Next to TOYOTA Showroom on Khar Danda Road, Opposite Mahavir Hospital, Khar West, Mumbai 400052 India",+91 22 2648 3851,,,"Italian, Cafe, Mediterranean, Grill",4.5,10,5,4,1,0,0
Fenix,"The Oberoi Hotel, Lobby Level, Netaji Subhash Chandra Bose Road, Nariman Point, Mumbai 400021 India",+91 22 6632 6205,2250,4500,"Japanese, Asian, Contemporary",4.5,190,131,30,14,4,1
Ferry Wharf,"ONGC Colony, Bandra West Shop 11 & 12, Building 3, opp Lilavati Hospital, ONGC Colony, Bandra West, Mumbai 400050 India",,,,"Indian, Seafood, Asian",4.5,39,22,12,3,1,1
Ferry Wharf,"Evershine Nagar, Malad West, Mumbai 400064 India",+91 22 2641 0401,,,Seafood,4.5,11,8,2,0,1,0
Fiesta Bites,"Shop no 8,Sugee Sadan,Gokhale Road,Badasaheb Ambedkar Nagar, Dadar West, Mumbai, Maharashtra 400028, Mumbai 400028 India",+91 96192 82555,,,"Mexican, Chinese, Fast food, Grill",5,5,4,1,0,0,0
Fifty Five East - Grand Hyatt Mumbai Hotel and Residences,"Bandra Kurla Complex Vicinity, Off Western Express Highway, Santacruz East,, Mumbai 400055 India",+91 22 6676 1149,,,,4.5,609,462,103,20,4,6
Filli Cafe,"Carter Road Gangagiri Building, Ground Floor, Next to Citibank, Bandra W, Union Park, Pali Hill, Mumbai 400050 India",+91 98331 01438,100,500,"Cafe, Indian, Fast food",4.5,22,12,8,1,0,0
Finch Tap Cafe,"Central Ave, Hiranandani Gardens, Mumbai 400076 India",+91 22 4979 3739,,,"American, Indian",5,12,12,0,0,0,0
Fiona,"Radisson Blu Mumbai International Airport, Marol Maroshi Raod Andheri East, Mumbai 400059 India",+91 93214 46035,1200,3500,"Italian, Chinese, Indian, Asian",5,63,53,8,2,0,0
Firangi Paani,"New Link Road Andheri, Mumbai 400058 India",+91 99674 99247,,,"Italian, Mexican, International, Asian",3.5,32,8,9,9,3,3
Firangi Paani Bandra,"Linking Road Bandra West Kenilworth Shopping Arcade Level 2, Above KFC, Mumbai 400050 India",226734730,,,"Bar, Pub",4,15,4,7,4,0,0
Fire Bowl,"17 New Link Road Oshiwara, Andheri West, Near Shreeji Restaurant, Mumbai 400102 India",+91 22 2632 6061,,,Chinese,4.5,8,4,2,2,0,0
Fire Bowl,"1-4, Ground Floor, Atmaram Compound, Sunder Nagar, Malad West Aruna Residency, Near Dalmia College, Mumbai 400064 India",+91 22 6504 0001,,,"Chinese, Seafood, Soups",4,5,2,2,1,0,0
Fire Bowl,"A - 1 Mangal Orchid Building Shop No, Mumbai 400061 India",+91 22 2639 2941,,,"Chinese, Asian",4,13,2,9,2,0,0
Firebowl,"Shop No. 17, Link Plaza, New Link Road, Andheri (W), Oshiwara,  Jogeshwari West , Mumbai, Mumbai 400102 India",,,,"Chinese, Asian, Thai, Malaysian",4,11,2,7,1,1,0
Firki,"Block 27 11/12 Raghuvanshi Mills Compound Senapati Bapat Marg, Mumbai 400013 India",+91 22 2492 3001,,,Indian,3.5,74,21,22,16,11,4
Fisco Restobar,"Shop 3, Blue Empress, Boraspada Road, Dev Nagar, Opposite Poisar Gymkhana, Kandivali West,, Mumbai 400067 India",+91 22 3015 1285,,,"Indian, Asian",4,28,10,13,4,0,1
Fish N Bait,"Unit No. 4, Ground Floor,, Jet Airways Godrej BKC, G Block, Bandra Kurla Complex, Bandra East, Mumbai 400051 India",+91 80808 06940,78,7000,"Indian, Seafood, Chinese, Mediterranean, Asian",4,18,6,10,1,0,1
Fisherman�s cove,"43 Chandivali Farm Road, Mumbai 400069 India",+91 84335 66661,,,"Indian, Seafood",5,7,6,1,0,0,0
five,"Bandra, Mumbai 400050 India",,371,742,Italian,4.5,10,7,2,0,0,1
Five Fat Monks,"2nd Floor Waterfield Road The New Kamal Society, Bandra, Near National College, Mumbai 400050 India",+91 22 6671 1423,,,"Chinese, Asian, International",4,46,12,22,8,4,0
Five Fat Monks,"Ground Floor G - 44 L B S Marg, Mumbai 400086 India",+91 22 6166 8881,,,"Chinese, Asian, Fusion",3.5,41,6,23,9,1,2
Flag's,"B J Patel Road Near ICICI bank, Next to Mehta Ind., Malad West, Mumbai 400064 India",+91 22 2883 2222,1484,1855,"Italian, Indian, Asian",4,81,25,37,16,1,2
Flag's,"Flags World Building, Link Road Opposite Chincholi Fire Station, Malad West, Mumbai 400064 India",+91 22 2872 1555,,,"Italian, Indian, Thai",4,47,11,21,10,3,2
Flags Avant Garde,"K.R. Basakhetre Road Flags Building, Mumbai 400053 India",+91 98920 57548,,,,4,9,3,5,1,0,0
Flags Restaurant,"220/3 Road No 4 Liberty Garden, Next to Mehta Ind, Near ICICI Bank, Malad West, Mumbai 400064 India",28832222,,,"Italian, Indian",3.5,23,5,11,4,2,1
Flamboyante,"Cuffe Parade No. 7, The Arcade, World Trade Centre, Mumbai 400005 India",+91 22 4064 7700,,,"Indian, Asian",4,158,46,69,23,10,8
Flames Restaurant and Bar Hilton,"Sahar Airport Road Le Royal Meridien, Andheri East, Mumbai 400069 India",+91 22 2838 0000,,,,4,14,7,5,0,0,1
Flavors,"Ground Floor Veer Nariman Road, Mumbai 400020 India",+91 22 2204 1131,,,Indian,4,25,8,9,6,1,0
Flavours,"Shop No.3, Kenilworth Arcade, Linking Road, Next To KFC, Bandra West, Mumbai 400050 India",+91 99876 45817,,,"Pizza, Fast food",4,8,1,6,1,0,0
Flavours - Grand Hometel Hotel,"Flavours, Grand Hometel Hotel, Off New Link Road, Chincholi Bandar, Next to Inorbit Mall, Malad West, Mumbai 400064 India",+91 22 2879 7979,40436,111292,"Chinese, American, Indian, Asian, Grill",4,13,8,3,0,1,1
Flavours of China,"Carter Road no 9 Sanghavi Solitaire, Junction of M.G Road, Mumbai 400066 India",+91 99876 50995,500,800,"Chinese, Thai",5,3,3,0,0,0,0
Flavours Of China,"6 Pratham Pad, Mumbai 400064 India",+91 22 2880 6971,,,"Chinese, Thai",4.5,6,2,4,0,0,0
Flavours Restaurant,"6 A Borivali East, Mumbai 400066 India",+91 95944 44359,,,,4.5,5,3,2,0,0,0
Flax - Powai,"Shop #25 Hiranandani Gardens A. S. Marg Powai Plaza, Mumbai 400076 India",+91 22 2570 2010,,,Healthy,5,23,21,1,1,0,0
Flax - Todi,"Mathuradas Mill Compound Todi Mill, NM Joshi Marg Lower Parel, Mumbai 400013 India",+91 22 2490 0244,,,,5,66,62,4,0,0,0
Flax Breach Candy,"B1, Nitrro Gym, Hubtown Skybay, Breach Candy, Mumbai 400026 India",+91 76667 79000,,,"Middle Eastern, Deli",5,22,19,3,0,0,0
Flea Bazaar Cafe,"Pandurang Budhkar Marg Unit No 5, 1st Floor, Trade View Building, Oasis City Complex, Lower Parel, Mumbai 400013 India",+91 70459 39983,,,,4,57,24,19,12,0,2
Fleur Restaurant,"4/277 I B Patel Road The Fern Goregaon Hotel Behind H.P Petrol Pump Village Pahadi, Goregaon East, Mumbai 400063 India",+91 22 2685 5000,200,1000,"Italian, Indian, European, Asian",4.5,208,166,30,7,2,2
Flute Champagne Lounge,"Shara StaerVile Parle East Near Domestic Airport, Mumbai 400057 India",39895000,,,,4.5,8,3,5,0,0,0
Flute Sahara Star,"Western Express Highway Sahara Star Hotel, Domestic Airport, Vile Parle, Mumbai 400057 India",+91 22 3989 7444,,,Indian,4.5,31,16,11,4,0,0
FLYP@MTV,"Senapati Bapat Marg 1st Floor, Trade View Building, Next to Gate No.4, Kamala Mills Compound, Mumbai 400013 India",+91 99305 30952,,,"Indian, Bar, Pub, Asian",4,16,5,9,1,1,0
Foo,"82, Nagin Mahal, Veer Nariman Road, Churchgate, Mumbai 400020 India",+91 22 6849 3430,,,"Chinese, Sushi, Seafood",4.5,10,7,3,0,0,0
Foo,"1st Floor, Festival Square, High Street Phoenix, Lower Parel, Mumbai 400013 India",+91 86574 07773,,,,4.5,43,17,21,4,1,0
